Block	Treatment	Replicate	Plant	Gloss	BirdPredated	Time	Notes
4	Gre	14	IVY	6.5	0	48	SLUG
4	Irid	50	IVY	6.76	1	48	
4	Blu	61	HOL	8.02	1	48	
5	Blu	55	HOL	8.38	1	2	
5	Bla	14	HOL	11.7	1	2	
5	Pur	84	BRA	0.84	1	2	
5	Pur	80	BRA	0.9	1	2	
5	Irid	70	BRA	1.1	1	2	
5	Pur	81	HOL	6.1	0	2	LOST
5	Bla	8	IVY	7.1	1	2	
5	Stat	35	BRA	1.5	1	24	
5	Irid	14	BRA	1.26	0	24	LOST
5	Gre	13	IVY	2.24	1	24	
5	Gre	43	PRI	0.8	1	24	
5	Stat	34	BRA	1.52	0	24	LOST
5	Stat	52	BRA	1.54	1	24	
5	Gre	1	BEE	2.3	0	24	LOST
5	Gre	39	BRA	1.3	1	24	
5	Blu	5	BRA	0.6	1	24	
5	Blu	57	BRA	0.8	1	24	
5	Pur	34	IVY	2.9	1	24	
5	Stat	9	BRA	1	1	24	
5	Blu	34	BRA	1.58	1	24	
5	Blu	53	OAK	2.1	1	24	
5	Blu	33	BRA	0.9	1	24	
5	Stat	51	IVY	7.04	1	24	
5	Blu	60	OAK	2.92	1	24	
5	Gre	4	IVY	2.38	1	24	
5	Blu	17	BRA	1.12	1	24	
5	Gre	47	HAZ	1	0	24	LOST
5	Blu	36	IVY	7.64	1	24	
5	Pur	14	IVY	6.68	1	24	
5	Pur	85	IVY	2.42	1	24	
5	Gre	31	IVY	6.94	1	24	
5	Stat	7	BRA	0.8	1	24	
5	Blu	54	BRA	1.3	1	24	
5	Bla	84	IVY	5.24	1	24	
5	Irid	3	BRA	0.5	1	24	
5	Pur	58	OAK	1.7	1	24	
5	Gre	51	IVY	7.52	1	24	
5	Irid	65	IVY	5.7	0	24	ANTS
5	Gre	41	OAK	2.5	1	24	
5	Pur	3	OAK	1.04	1	24	
5	Blu	30	HOL	2.98	1	24	
5	Pur	53	HOL	10.2	1	24	
5	Bla	3	HOL	18.26	1	24	
5	Irid	67	HAW	1.78	0	24	ANTS
5	Stat	40	BRA	1.38	0	24	ANTS
5	Blu	56	BRA	1.1	1	24	
5	Pur	32	IVY	5.3	1	24	
5	Stat	30	HOL	6.28	1	24	
5	Pur	18	HOL	13.14	1	24	
5	Pur	5	HOL	9.86	1	24	
5	Bla	35	BRA	0.7	1	24	
5	Irid	8	HOL	6.76	1	48	
5	Irid	62	HOL	8.52	0	48	ALIVE
5	Bla	78	PRI	1.8	1	48	
5	Bla	56	IVY	9.44	1	48	
5	Blu	68	BRA	1.1	0	48	LOST
5	Gre	8	IVY	5.76	1	48	
5	Irid	68	BRA	1.16	0	48	ALIVE
5	Stat	41	HOL	11.28	0	48	ALIVE
5	Pur	19	BRA	0.72	1	48	
5	Bla	50	BRA	1.6	0	48	ALIVE
5	Stat	56	BRA	1.14	1	48	
5	Irid	11	IVY	3.62	1	48	
